"assay","efficiency","r.sq","slope"
"HK_78D",1.07360228002332,0.991056847919069,-3.15730852384201
"HK_COIL.P84_R2_TM",1.03998048726045,0.994904600748732,-3.22970279267486
"HK_MRPL40_F1_TM",0.979918819702854,0.995618953192949,-3.37100562739925
"GS_HSC70",0.871720535401898,0.991460717566785,-3.67321594070256
"GS_HSP90",1.02202724167725,0.958313809485171,-3.27025018215393
"GS_JUNB",1.05174134590654,0.988537943948086,-3.20386914332226
"HX_ALD_1",0.998735323820756,0.999954180843952,-3.3249623211052
"HX_COX6B1_19",0.912765176972828,0.99698684415848,-3.55035900912139
"HX_ECE.2",0.92824160779899,0.997907062641694,-3.50678536817676
"HX_ENOLASE_2",0.955882993837061,0.9955872685205,-3.43238191498509
"HX_GLU1",1.06037285401958,0.999128100430576,-3.18526299295912
"HX_GPX3",0.871554702230749,0.992433106134002,-3.67373520475931
"HX_HIF1A_6",0.889187694224895,0.990837756814237,-3.61958052320618
"HX_MFHAS1",1.01008362299304,0.997763675304471,-3.29799939010231
"HX_NGB1",0.873123371132947,0.99712523958475,-3.66883102149145
"HX_PAM",0.906894206111992,0.998664258338449,-3.56726761882807
"HX_PGK",0.943047721695019,0.999006251836715,-3.46640315316768
"HX_RAMP1",0.9515258074428,0.999026916697691,-3.44383095850678
"HX_SOX.5",0.837381708871116,0.974804827191941,-3.78502011329253
"HX_VEGFA",0.991783623749976,0.990981990633698,-3.34177513270956
"IM_C3",0.981604565839297,0.991103955385084,-3.36681071920317
"IM_C5AR",0.982018904546027,0.988862203133909,-3.36578179808276
"IM_CD83",0.97201338933374,0.998542308490365,-3.39086662703283
"IM_IFNA",1.18534306671326,0.97836720148095,-2.94533784744547
"IM_IGMS",1.00899280285228,0.999337714832185,-3.30056552883341
"IM_IL1B",1.09783113776524,0.995226375445829,-3.10780483357583
"IM_ILIR",0.929576335810809,0.996353862503934,-3.50309366898511
"IM_MHCI",0.931920276267713,0.989744433031274,-3.49663552990618
"IM_SAA",0.919770069330995,0.993802867759745,-3.53045989912566
"INF_MMP13",1.08183808597721,0.988618287725548,-3.14024047581993
"INF_MMP25",1.13635809717033,0.98093934364639,-3.03329909273296
"MRS_C7",0.950384493705651,0.997599173998112,-3.4468467817709
"MRS_COMMD7",0.933220721881258,0.998087567445936,-3.4930661042019
"MRS_FYB",0.811290611979722,0.99094932452882,-3.87614723263224
"MRS_HTA",0.966848451459557,0.996131913058485,-3.40401314826121
"MRS_NKA_B1",1.06064370549573,0.987315258201496,-3.18468389400282
"MRS_RPL6",1.1191623972652,0.99616704090921,-3.06594003849382
"OS_PRLR",1.15722866294954,0.972992314794446,-2.99494290028738
"OS_RGS21",0.998206176716414,0.993739500917412,-3.3262340732469
"SM_HSP90A_15_V2",0.936859300928389,0.99870743969768,-3.4831303044438
"SMLT_CA4_V1",1.05464971184655,0.972373486094281,-3.19756686572427
"SMLT_CCL19_V1",0.960795362704189,0.992257866573959,-3.4195952318019
"SMLT_CCL4_V1",0.935048802531078,0.998915934537529,-3.48806478801048
"SMLT_EEF2_V1_SSA23",0.989250782507823,0.991022036875945,-3.34795791018669
"SMLT_FKBP5_V1",1.11810296390344,0.987392686802288,-3.06798280569576
"SMLT_FMNL1_V1",0.992938553543675,0.978844053802639,-3.33896607225229
"SMLT_IL12B_V1",1.10537213587163,0.994321509279974,-3.09282619080854
"SMLT_NKAA1.A_V2",1.0525535956902,0.991946957126816,-3.20210564203844
"SMLT_NKAA1.B",1.13830553305674,0.995913934671569,-3.02966258045885
"SMLT_NKAA1C",1.0673878966656,0.990250401672111,-3.17035621164467
"SMLT_WAS_V1",1.02465170291583,0.996293869333245,-3.26423680536533
"TM_EEF2_SSA14",1.02402306664107,0.972167879172609,-3.2656744627666
"TM_FKBP10_SSA19",0.994982718601018,0.998712317595902,-3.3340097150717
"TM_FKBP10_SSA3.6",1.09213605395357,0.993889849208785,-3.11924962655747
"TM_HSP90AA1",0.853436575977556,0.993855006265346,-3.73165338400715
"TM_HSP90ALIKE",0.83732722755733,0.995421776306321,-3.78520461334146
"TM_MAP3K14",0.917811566115462,0.990787987218103,-3.53599370311725
"VDD_DEXH_MGL3",0.909116874352008,0.996393584230723,-3.56084122002393
"VDD_GAL3_MGL2",1.03706460875067,0.994804920504365,-3.23619564640513
"VDD_HERC6",0.97591654610831,0.995223117098615,-3.38102153789122
"VDD_IFIT5_MGL",0.951697313491354,0.997269502036109,-3.44337837685372
"VDD_MX_ONTS",1.06169191870561,0.99747740051445,-3.18244544143648
"VDD_NFX_MGL2",0.957388748708176,0.99930058056108,-3.42844893362259
"VDD_VHSVIP4_MGL3",0.955169574941987,0.997424359171899,-3.43424955306956
"VDD_VHSV.P10_MGL2",0.971880767498051,0.99751650410722,-3.39120249495069
